Energy Efficiency Rating (E),Resource Consumption (E),Data Center Location (E),Maintenance Cost (C),Obsolete Functionality (U),Redundancy (U),Low Usage (U),User Impact (C),Business Value (C),Compliance and Regulatory (U),Total Score,TARGET
1,0,1,1,1,1,1,1,1,1,9,1
1,1,1,1,1,1,1,1,1,0,9,1
1,0,1,1,1,1,1,1,1,1,9,1
1,1,1,0,1,1,1,1,1,1,9,1
1,1,1,1,1,1,1,1,0,1,9,1
1,1,1,1,1,1,1,1,0,0,8,1
1,1,1,1,1,1,1,0,0,1,8,1
1,1,1,1,0,1,1,1,0,1,8,1
1,1,1,1,1,1,0,1,0,1,8,1
1,1,0,0,1,1,1,1,1,1,8,1
0,1,1,1,1,0,1,1,1,1,8,1
0,1,1,1,1,1,1,1,1,0,8,1
1,1,1,0,1,1,1,1,1,0,8,1
1,1,0,1,1,1,0,1,1,1,8,1
1,1,0,1,1,1,1,1,0,1,8,1
0,1,1,1,1,1,0,1,1,1,8,1
1,0,0,0,1,1,1,1,1,1,7,1
1,0,1,1,1,1,0,0,1,1,7,1
0,1,0,0,1,1,1,1,1,1,7,1
0,0,1,1,1,1,1,1,1,0,7,1
1,1,1,1,1,0,0,1,1,0,7,1
0,1,0,1,1,1,0,1,1,1,7,1
0,0,0,1,1,1,1,1,1,1,7,1
1,1,0,1,1,1,1,0,1,0,7,1
1,1,0,1,0,1,1,1,0,1,7,1
1,0,1,0,1,1,1,1,1,0,7,1
1,1,0,1,1,1,0,1,0,1,7,1
1,0,0,0,1,1,1,1,1,1,7,1
0,1,0,1,1,0,1,1,1,1,7,1
0,1,0,1,0,1,1,1,1,1,7,1
1,0,1,1,0,1,1,1,0,1,7,1
1,1,1,1,0,0,1,1,1,0,7,1
1,1,1,1,1,1,1,0,0,0,7,1
1,0,1,1,0,1,1,1,1,0,7,1
1,0,1,0,1,1,1,1,1,0,7,1
1,1,0,1,1,1,1,0,0,1,7,1
0,1,0,1,1,1,0,1,1,1,7,1
1,1,1,1,1,0,0,1,1,0,7,1
0,1,0,1,1,1,1,0,1,1,7,1
0,0,1,1,1,1,1,0,1,1,7,1
1,1,1,0,1,0,1,1,0,1,7,1
1,0,1,1,1,1,1,0,1,0,7,1
1,1,1,1,1,0,0,1,1,0,7,1
1,1,0,1,1,0,1,1,1,0,7,1
0,1,1,1,1,0,1,1,0,1,7,1
1,1,1,1,1,0,0,0,1,1,7,1
1,1,1,1,0,1,1,0,1,0,7,1
1,1,0,1,1,1,0,1,1,0,7,1
1,1,1,1,0,1,0,1,0,1,7,1
1,1,0,1,0,0,1,1,1,1,7,1
1,0,0,1,1,1,1,0,1,1,7,1
1,1,1,0,1,1,1,0,0,0,6,1
1,0,0,1,1,0,0,1,1,1,6,1
1,1,1,1,0,1,0,0,1,0,6,1
1,0,1,1,1,1,1,0,0,0,6,1
0,0,1,1,0,1,1,1,1,0,6,1
1,0,0,1,0,1,0,1,1,1,6,1
0,0,0,1,1,0,1,1,1,1,6,1
0,1,1,1,0,0,0,1,1,1,6,1
0,1,1,0,1,1,1,1,0,0,6,1
1,1,0,1,1,1,0,0,0,1,6,1
1,0,1,1,1,0,1,0,0,1,6,1
0,1,0,1,1,1,1,1,0,0,6,1
1,0,1,1,1,0,0,1,0,1,6,1
1,0,1,1,0,1,0,1,1,0,6,1
1,0,1,1,1,0,1,0,1,0,6,1
0,1,1,1,0,1,0,1,1,0,6,1
0,0,1,0,1,1,0,1,1,1,6,1
0,1,1,0,1,1,0,1,0,1,6,1
1,1,1,1,0,0,1,1,0,0,6,1
0,0,0,1,1,1,0,1,1,1,6,1
1,0,1,0,1,0,0,1,1,1,6,1
1,1,1,0,1,0,0,1,0,1,6,1
0,1,0,1,1,1,0,0,1,1,6,1
0,1,1,0,0,0,1,1,1,1,6,1
1,0,0,1,0,1,1,0,1,1,6,1
1,1,1,0,1,1,1,0,0,0,6,1
0,1,0,1,1,0,1,1,0,1,6,1
0,1,0,0,0,1,1,1,1,1,6,1
0,1,1,1,0,1,1,0,1,0,6,1
0,1,0,0,1,1,1,1,1,0,6,1
0,1,1,0,1,1,0,1,1,0,6,1
0,0,1,1,1,0,1,0,1,1,6,1
0,1,1,1,1,0,1,1,0,0,6,1
1,1,0,1,1,1,0,0,0,1,6,1
1,1,0,1,1,0,1,0,1,0,6,1
1,0,1,1,0,1,0,1,1,0,6,1
1,0,1,0,0,1,1,0,1,1,6,1
0,1,1,0,0,0,1,1,1,1,6,1
1,1,1,0,0,1,0,1,1,0,6,1
1,1,1,0,1,0,1,1,0,0,6,1
0,0,1,1,1,1,1,0,1,0,6,1
0,0,1,1,1,1,0,1,0,1,6,1
1,1,0,1,1,0,1,0,0,1,6,1
1,1,1,0,0,1,0,1,1,0,6,1
0,0,1,1,0,1,1,1,0,1,6,1
0,0,1,0,1,1,1,1,0,1,6,1
1,1,1,0,0,1,1,0,0,1,6,1
0,0,1,1,0,0,1,0,1,1,5,0
1,0,0,0,0,1,1,1,1,0,5,0
0,1,0,0,1,1,1,0,1,0,5,0
0,0,1,1,1,0,0,1,1,0,5,0
0,1,0,1,1,0,0,1,1,0,5,0
0,0,1,1,1,1,1,0,0,0,5,0
1,1,0,1,0,0,0,1,1,0,5,0
1,1,1,0,1,0,0,0,1,0,5,0
0,1,1,0,1,0,1,1,0,0,5,0
0,0,0,1,1,0,0,1,1,1,5,0
0,0,0,0,1,1,1,1,0,1,5,0
0,0,1,1,1,0,1,0,0,1,5,0
1,1,0,0,0,1,0,0,1,1,5,0
1,0,0,1,1,1,1,0,0,0,5,0
0,0,0,1,1,1,1,0,0,1,5,0
1,0,0,1,1,0,1,1,0,0,5,0
1,1,1,0,0,1,0,0,1,0,5,0
1,0,1,0,0,1,0,1,1,0,5,0
0,1,1,1,1,0,0,0,1,0,5,0
0,0,1,0,0,0,1,1,1,1,5,0
0,1,0,0,1,0,1,1,1,0,5,0
1,0,1,0,0,0,1,0,1,1,5,0
1,0,1,1,1,1,0,0,0,0,5,0
1,0,0,0,0,1,0,1,1,1,5,0
0,1,1,0,1,0,1,0,0,1,5,0
0,1,1,1,0,0,1,0,0,1,5,0
0,1,1,1,1,0,0,0,0,1,5,0
0,0,1,1,0,0,1,1,1,0,5,0
1,1,0,1,0,0,1,0,0,1,5,0
0,0,0,1,1,1,0,1,1,0,5,0
0,0,1,0,1,1,1,0,1,0,5,0
0,0,0,0,1,1,0,1,1,1,5,0
0,1,0,1,1,0,0,1,0,1,5,0
1,0,1,0,1,0,1,0,0,1,5,0
1,0,0,1,0,1,1,0,0,1,5,0
1,1,0,0,0,0,1,0,1,1,5,0
0,0,0,1,1,1,0,1,1,0,5,0
1,0,0,1,1,0,1,0,1,0,5,0
0,0,0,1,1,1,1,0,0,1,5,0
0,1,1,1,0,1,0,0,1,0,5,0
1,1,0,1,0,1,0,1,0,0,5,0
1,0,1,0,1,1,0,1,0,0,5,0
0,1,0,1,0,1,0,1,0,1,5,0
1,1,0,1,0,1,0,1,0,0,5,0
0,1,0,0,1,0,1,0,1,1,5,0
1,1,1,0,0,0,0,1,1,0,5,0
0,1,1,1,0,1,0,1,0,0,5,0
1,0,1,1,0,1,0,1,0,0,5,0
0,1,0,1,0,0,1,1,0,1,5,0
0,1,0,1,0,1,1,0,1,0,5,0
0,0,1,1,1,1,0,1,0,0,5,0
1,0,1,1,0,0,0,0,1,1,5,0
1,0,1,0,0,1,0,1,0,1,5,0
1,1,0,0,1,1,0,0,0,1,5,0
1,0,1,1,0,0,1,0,1,0,5,0
0,0,0,1,1,0,1,0,1,1,5,0
0,1,0,0,1,0,1,1,1,0,5,0
1,0,1,1,1,0,0,0,0,1,5,0
1,1,0,0,0,1,0,1,1,0,5,0
1,0,1,0,0,0,1,1,1,0,5,0
0,1,1,0,0,0,0,1,1,1,5,0
1,1,1,0,1,0,0,0,0,1,5,0
0,0,1,0,1,1,0,0,1,1,5,0
1,1,1,1,0,0,0,0,0,1,5,0
0,1,0,1,0,0,1,0,1,1,5,0
0,1,0,0,1,1,1,0,0,1,5,0
1,0,0,1,1,0,0,1,1,0,5,0
0,0,0,1,1,1,1,0,0,1,5,0
1,0,0,0,1,1,1,1,0,0,5,0
0,1,0,1,0,1,0,1,1,0,5,0
0,1,1,0,0,1,1,0,0,1,5,0
0,1,0,0,1,1,0,0,1,1,5,0
0,1,1,1,1,0,0,1,0,0,5,0
1,1,0,1,0,1,0,1,0,0,5,0
0,0,0,1,0,1,1,0,1,1,5,0
0,1,1,1,1,0,1,0,0,0,5,0
1,1,0,0,0,1,1,1,0,0,5,0
1,0,1,0,1,0,1,0,1,0,5,0
0,1,1,1,0,0,0,1,0,1,5,0
0,0,1,0,0,1,0,1,1,1,5,0
1,1,1,0,0,1,0,0,0,1,5,0
1,1,0,1,1,1,0,0,0,0,5,0
1,0,1,0,0,0,1,0,1,1,5,0
0,0,1,0,1,1,1,0,0,1,5,0
0,1,0,0,0,1,0,1,1,1,5,0
1,1,0,0,0,0,1,0,0,1,4,0
1,0,1,0,0,0,0,0,1,1,4,0
0,0,0,1,0,0,1,1,1,0,4,0
0,0,0,1,0,1,1,0,1,0,4,0
0,1,0,1,0,0,1,0,1,0,4,0
1,0,0,0,1,1,0,1,0,0,4,0
0,0,1,1,1,1,0,0,0,0,4,0
0,0,1,1,1,0,1,0,0,0,4,0
0,0,0,0,1,0,1,1,1,0,4,0
0,0,0,0,0,1,1,0,1,1,4,0
0,1,0,1,0,1,1,0,0,0,4,0
1,0,1,0,0,1,0,0,0,1,4,0
1,1,1,0,0,1,0,0,0,0,4,0
1,0,0,1,0,0,1,1,0,0,4,0
0,1,0,1,0,0,0,1,1,0,4,0
0,0,0,1,0,0,1,0,1,1,4,0
0,0,1,0,1,0,0,1,0,1,4,0
1,0,0,1,0,0,0,1,0,1,4,0
0,1,1,0,0,1,0,0,0,1,4,0
0,1,0,0,1,1,0,1,0,0,4,0
1,1,0,0,0,1,0,0,0,1,4,0
1,1,1,0,0,1,0,0,0,0,4,0
0,1,1,0,1,0,0,0,1,0,4,0
1,0,0,1,0,0,0,1,0,1,4,0
1,0,0,0,1,0,1,0,1,0,4,0
0,0,0,1,0,0,1,0,1,1,4,0
0,1,0,0,1,1,0,1,0,0,4,0
1,0,0,0,0,1,0,0,1,1,4,0
0,0,0,1,1,0,1,0,1,0,4,0
1,0,1,0,0,0,0,1,0,1,4,0
0,0,0,1,1,0,1,1,0,0,4,0
0,0,0,0,0,1,1,1,1,0,4,0
1,0,0,0,0,0,1,0,1,1,4,0
0,0,1,0,0,1,1,0,1,0,4,0
1,0,0,0,0,0,1,0,1,1,4,0
1,0,0,1,0,0,1,1,0,0,4,0
1,0,1,0,0,1,1,0,0,0,4,0
0,0,1,0,1,1,0,0,0,1,4,0
0,1,1,0,0,0,1,0,1,0,4,0
0,1,0,1,0,0,1,0,1,0,4,0
0,1,0,0,0,1,0,1,1,0,4,0
1,0,1,0,0,0,0,1,1,0,4,0
0,1,0,0,1,0,0,0,1,1,4,0
0,0,0,0,1,1,1,1,0,0,4,0
0,0,0,1,1,0,1,0,0,1,4,0
0,0,0,1,1,0,0,1,1,0,4,0
0,1,0,0,0,0,1,1,0,1,4,0
0,1,0,1,0,1,1,0,0,0,4,0
0,1,0,0,0,1,1,0,0,1,4,0
1,1,0,1,0,1,0,0,0,0,4,0
0,0,1,0,0,1,1,0,0,1,4,0
1,0,1,1,0,0,0,1,0,0,4,0
0,0,0,0,1,1,1,0,1,0,4,0
0,0,1,1,0,0,1,0,0,1,4,0
0,0,0,1,1,1,0,0,0,1,4,0
0,0,0,0,1,1,1,0,1,0,4,0
1,0,0,1,0,0,0,1,1,0,4,0
0,0,0,1,1,0,1,1,0,0,4,0
